date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx,undernourishment_pct,food_production_index,cereal_yield_kg_ha,arable_land_pct,undernourishment_pct_yoy_chg,food_production_index_yoy_chg,cereal_yield_kg_ha_yoy_chg,ffpi_overall,ffpi_cereals,ffpi_overall_mom_pct,ffpi_cereals_yoy_pct,ffpi_above_baseline,ffpi_crisis_flag,dap_to_wheat_elevated,ffpi_volatility_12m,cereals_affordability_idx,supply_stress_flag,food_shock_score,month,year,ffpi_overall_L1,ffpi_cereals_L1,wheat_usd_mt_L1,maize_usd_mt_L1,soybean_oil_usd_mt_L1,dap_fertiliser_usd_mt_L1,mop_potash_usd_mt_L1,fertiliser_composite_idx_L1,dap_to_wheat_ratio_L1,cereals_affordability_idx_L1,ffpi_volatility_12m_L1,undernourishment_pct_L1,food_production_index_L1,cereal_yield_kg_ha_L1,ffpi_overall_L2,ffpi_cereals_L2,wheat_usd_mt_L2,maize_usd_mt_L2,soybean_oil_usd_mt_L2,dap_fertiliser_usd_mt_L2,mop_potash_usd_mt_L2,fertiliser_composite_idx_L2,dap_to_wheat_ratio_L2,cereals_affordability_idx_L2,ffpi_volatility_12m_L2,undernourishment_pct_L2,food_production_index_L2,cereal_yield_kg_ha_L2,ffpi_overall_L3,ffpi_cereals_L3,wheat_usd_mt_L3,maize_usd_mt_L3,soybean_oil_usd_mt_L3,dap_fertiliser_usd_mt_L3,mop_potash_usd_mt_L3,fertiliser_composite_idx_L3,dap_to_wheat_ratio_L3,cereals_affordability_idx_L3,ffpi_volatility_12m_L3,undernourishment_pct_L3,food_production_index_L3,cereal_yield_kg_ha_L3,ffpi_overall_L4,ffpi_cereals_L4,wheat_usd_mt_L4,maize_usd_mt_L4,soybean_oil_usd_mt_L4,dap_fertiliser_usd_mt_L4,mop_potash_usd_mt_L4,fertiliser_composite_idx_L4,dap_to_wheat_ratio_L4,cereals_affordability_idx_L4,ffpi_volatility_12m_L4,undernourishment_pct_L4,food_production_index_L4,cereal_yield_kg_ha_L4,ffpi_overall_L5,ffpi_cereals_L5,wheat_usd_mt_L5,maize_usd_mt_L5,soybean_oil_usd_mt_L5,dap_fertiliser_usd_mt_L5,mop_potash_usd_mt_L5,fertiliser_composite_idx_L5,dap_to_wheat_ratio_L5,cereals_affordability_idx_L5,ffpi_volatility_12m_L5,undernourishment_pct_L5,food_production_index_L5,cereal_yield_kg_ha_L5,ffpi_overall_L6,ffpi_cereals_L6,wheat_usd_mt_L6,maize_usd_mt_L6,soybean_oil_usd_mt_L6,dap_fertiliser_usd_mt_L6,mop_potash_usd_mt_L6,fertiliser_composite_idx_L6,dap_to_wheat_ratio_L6,cereals_affordability_idx_L6,ffpi_volatility_12m_L6,undernourishment_pct_L6,food_production_index_L6,cereal_yield_kg_ha_L6,ffpi_overall_roll_mean_3m,ffpi_overall_roll_std_3m,ffpi_cereals_roll_mean_3m,ffpi_cereals_roll_std_3m,wheat_usd_mt_roll_mean_3m,wheat_usd_mt_roll_std_3m,maize_usd_mt_roll_mean_3m,maize_usd_mt_roll_std_3m,dap_fertiliser_usd_mt_roll_mean_3m,dap_fertiliser_usd_mt_roll_std_3m,fertiliser_composite_idx_roll_mean_3m,fertiliser_composite_idx_roll_std_3m,cereals_affordability_idx_roll_mean_3m,cereals_affordability_idx_roll_std_3m,dap_to_wheat_ratio_roll_mean_3m,dap_to_wheat_ratio_roll_std_3m,ffpi_overall_roll_mean_6m,ffpi_overall_roll_std_6m,ffpi_cereals_roll_mean_6m,ffpi_cereals_roll_std_6m,wheat_usd_mt_roll_mean_6m,wheat_usd_mt_roll_std_6m,maize_usd_mt_roll_mean_6m,maize_usd_mt_roll_std_6m,dap_fertiliser_usd_mt_roll_mean_6m,dap_fertiliser_usd_mt_roll_std_6m,fertiliser_composite_idx_roll_mean_6m,fertiliser_composite_idx_roll_std_6m,cereals_affordability_idx_roll_mean_6m,cereals_affordability_idx_roll_std_6m,dap_to_wheat_ratio_roll_mean_6m,dap_to_wheat_ratio_roll_std_6m,ffpi_overall_roll_mean_12m,ffpi_overall_roll_std_12m,ffpi_cereals_roll_mean_12m,ffpi_cereals_roll_std_12m,wheat_usd_mt_roll_mean_12m,wheat_usd_mt_roll_std_12m,maize_usd_mt_roll_mean_12m,maize_usd_mt_roll_std_12m,dap_fertiliser_usd_mt_roll_mean_12m,dap_fertiliser_usd_mt_roll_std_12m,fertiliser_composite_idx_roll_mean_12m,fertiliser_composite_idx_roll_std_12m,cereals_affordability_idx_roll_mean_12m,cereals_affordability_idx_roll_std_12m,dap_to_wheat_ratio_roll_mean_12m,dap_to_wheat_ratio_roll_std_12m,ffpi_overall_mom,ffpi_overall_yoy,ffpi_cereals_mom,ffpi_cereals_yoy,wheat_usd_mt_mom,wheat_usd_mt_yoy,dap_fertiliser_usd_mt_mom,dap_fertiliser_usd_mt_yoy,fertiliser_composite_idx_mom,fertiliser_composite_idx_yoy,fert_x_cereals,ffpi_x_hunger,ffpi_regime,ffpi_regime_code,target_ffpi_chg_1m,target_ffpi_chg_12m,target_ffpi_up_12m,target_cereals_chg_1m,target_shock_next_month,World_GDP,USA_GDP,USA_CPI
1990-01-31,417.0,105.6,167.92,138.5,98.5,2.011,-3.383,-3.27,-10.66,-2.797,-1.418,0.727,-23.481,0.0,7.65,0.825,118.5,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,62.67,68.76,,,0,0,0,,145.43,0,0,1,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8148,,deflation,0,-0.8457,-11.2813,0.0,-1.47,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-02-28,428.0,106.07,160.94,139.75,98.5,-4.157,-6.408,0.445,-9.666,2.638,3.883,0.903,-21.709,0.0,-2.956,0.868,119.12,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,62.14,67.29,-0.846,,0,0,0,,148.61,0,0,2,1990,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.53,,-1.47,,-6.98,,1.25,,0.62,,0.8016,,deflation,0,0.9495,-10.412,0.0,0.04,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-03-31,442.0,109.7,156.53,146.0,97.375,-2.74,-12.165,3.422,-7.332,3.271,1.144,4.472,-17.28,-1.142,-3.109,0.933,121.69,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,62.73,67.33,0.949,,0,0,0,,148.52,0,0,3,1990,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5133,0.3247,67.7933,0.8374,161.7967,5.7431,107.1233,2.2438,141.4167,4.0182,119.77,1.6914,147.52,1.8106,0.8753,0.0544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,,0.04,,-4.41,,6.25,,2.57,,0.8193,,deflation,0,3.3796,-8.3533,0.0,3.29,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-04-30,440.0,118.82,159.47,155.2,93.2,1.878,-8.629,8.314,2.661,-0.452,0.0,6.301,-7.343,-4.288,-5.381,0.973,124.2,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,64.85,70.62,3.38,,0,0,0,,141.6,0,0,4,1990,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.24,1.4252,68.4133,1.9111,158.98,2.2455,111.53,6.569,146.9833,7.7718,121.67,2.5401,146.2433,4.0215,0.9247,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,3.29,,2.94,,9.2,,2.51,,0.8771,,deflation,0,-1.2028,-10.3315,0.0,-1.71,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-05-31,449.0,121.04,149.18,149.125,93.5,-6.453,-15.416,1.868,2.89,2.045,-2.391,-3.914,-2.213,0.322,-5.076,1.0,121.31,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,64.07,68.91,-1.203,,0,0,0,,145.12,0,0,5,1990,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.8833,1.0723,68.9533,1.6454,155.06,5.3002,116.52,6.0097,150.1083,4.6782,122.4,1.5704,145.08,3.4602,0.9687,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,,-1.71,,-10.29,,-6.075,,-2.89,,0.8359,,deflation,0,-4.1673,-11.3782,0.0,-3.16,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-06-30,435.0,120.86,135.58,152.75,93.5,-9.117,-19.609,-0.149,6.965,-3.118,-6.25,2.431,7.193,0.0,-5.076,1.127,123.12,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,61.4,65.75,-4.167,,0,0,0,,152.09,0,0,6,1990,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,,,,,,,,,,,,,,,63.44,1.8092,68.4267,2.4707,148.0767,11.9832,120.24,1.233,152.3583,3.0564,122.8767,1.4603,146.27,5.3387,1.0333,0.0822,62.9767,1.2685,68.11,1.686,154.9367,11.274,113.6817,7.3645,146.8875,6.7905,121.3233,2.212,146.895,3.6305,0.9543,0.1067,,,,,,,,,,,,,,,,,-2.67,,-3.16,,-13.6,,3.625,,1.81,,0.8095,,deflation,0,-4.3648,-8.7134,0.0,-4.15,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-07-31,437.0,114.91,124.93,160.7,93.5,-7.855,-25.111,-4.923,5.713,0.46,-2.237,5.205,16.873,0.0,-5.076,1.286,127.1,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,58.72,61.6,-4.365,,0,0,0,,162.34,0,0,7,1990,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,62.67,68.76,167.92,105.6,417.0,138.5,98.5,118.5,0.825,145.43,,,22.8051675730017,2754.99566633829,61.3967,2.675,65.42,3.6662,136.5633,12.1549,118.9367,3.4884,154.1917,5.9206,123.8433,2.962,153.1833,8.6619,1.1377,0.1433,62.3183,2.1666,66.9167,3.0863,147.7717,14.5556,115.2333,6.2118,150.5875,7.3328,122.7567,2.7399,149.7133,7.1365,1.0312,0.1515,,,,,,,,,,,,,,,,,-2.68,,-4.15,,-10.65,,7.95,,3.98,,0.7829,,deflation,0,-2.1117,-5.3474,0.0,-3.24,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-08-31,460.0,110.05,116.84,160.5,93.5,-6.476,-28.86,-4.229,9.047,5.263,13.861,-0.124,11.458,0.0,-5.076,1.374,127.0,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,57.48,58.36,-2.112,,0,0,0,,171.35,0,0,8,1990,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,62.14,67.29,160.94,106.07,428.0,139.75,98.5,119.12,0.868,148.61,,,22.8051675730017,2754.99566633829,59.2,2.0036,61.9033,3.7043,125.7833,9.3991,115.2733,5.4142,157.9833,4.5333,125.74,2.2695,161.9267,9.6367,1.2623,0.1252,61.5417,2.9404,65.4283,4.6349,140.4217,17.4273,115.8967,5.1612,154.0458,5.9648,124.07,2.5285,153.5033,11.2729,1.1155,0.1805,,,,,,,,,,,,,,,,,-1.24,,-3.24,,-8.09,,-0.2,,-0.1,,0.7412,,deflation,0,-3.4621,2.1573,1.0,-3.04,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-09-30,461.0,101.52,114.27,165.875,93.5,-2.2,-30.114,-7.751,-1.79,0.217,12.439,3.349,6.33,0.0,-5.076,1.452,129.69,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,55.49,55.32,-3.462,,0,0,0,,180.77,0,0,9,1990,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,62.73,67.33,156.53,109.7,442.0,146.0,97.375,121.69,0.933,148.52,,,22.8051675730017,2754.99566633829,57.23,1.6294,58.4267,3.1405,118.68,5.5631,108.8267,6.7783,162.3583,3.0472,127.93,1.525,171.4867,9.2158,1.3707,0.0831,60.335,3.7337,63.4267,6.0322,133.3783,18.1402,114.5333,7.6201,157.3583,6.1197,125.4033,3.0731,158.8783,15.3667,1.202,0.199,,,,,,,,,,,,,,,,,-1.99,,-3.04,,-2.57,,5.375,,2.69,,0.7174,,deflation,0,0.1982,8.7944,1.0,-0.26,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-10-31,468.0,100.34,114.64,165.7,93.5,0.324,-30.357,-1.162,-6.469,1.518,11.695,-0.106,11.959,0.0,-5.076,1.445,129.6,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,55.6,55.06,0.198,,0,0,0,,181.62,0,0,10,1990,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,64.85,70.62,159.47,118.82,440.0,155.2,93.2,124.2,0.973,141.6,,,22.8051675730017,2754.99566633829,56.19,1.1185,56.2467,1.8348,115.25,1.3894,103.97,5.2984,164.025,3.054,128.7633,1.5278,177.9133,5.6999,1.4237,0.0432,58.7933,3.3905,60.8333,5.654,125.9067,14.0052,111.4533,9.1267,159.1083,6.8382,126.3033,3.4212,165.5483,15.0492,1.2807,0.183,,,,,,,,,,,,,,,,,0.11,,-0.26,,0.37,,-0.175,,-0.09,,0.7136,,deflation,0,-1.4209,13.3273,1.0,-0.4,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-11-30,455.0,100.39,112.8,163.375,93.5,-1.605,-31.013,0.05,-7.458,-2.778,5.081,-1.403,15.053,0.0,-5.076,1.448,128.44,,22.8051675730017,2754.99566633829,10.6512534295633,,-2.368,154.588,54.81,54.66,-1.421,,0,0,0,,182.95,0,0,11,1990,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,64.07,68.91,149.18,121.04,449.0,149.125,93.5,121.31,1.0,145.12,,,22.8051675730017,2754.99566633829,55.3,0.4279,55.0133,0.3325,113.9033,0.9733,100.75,0.6673,164.9833,1.3956,129.2433,0.6972,181.78,1.0988,1.4483,0.0035,57.25,2.4984,58.4583,4.4469,119.8433,8.835,108.0117,8.6707,161.4833,4.8682,127.4917,2.4365,171.8533,12.485,1.3553,0.129,,,,,,,,,,,,,,,,,-0.79,,-0.4,,-1.84,,-2.325,,-1.16,,0.7021,,deflation,0,2.2076,13.1728,1.0,0.54,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1990-12-31,476.0,102.01,113.17,158.625,93.5,0.328,-31.25,1.614,-6.559,4.615,10.956,-2.907,15.364,0.0,-5.076,1.402,126.06,,22.6196461602765,2870.94913188413,10.6595327634789,,-0.186,115.953,56.02,55.2,2.208,,0,0,0,,181.16,0,0,12,1990,54.81,54.66,112.8,100.39,455.0,163.375,93.5,128.44,1.448,182.95,,,22.8051675730017,2754.99566633829,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,61.4,65.75,135.58,120.86,435.0,152.75,93.5,123.12,1.127,152.09,,,22.8051675730017,2754.99566633829,55.4767,0.6144,54.9733,0.2802,113.5367,0.9733,100.9133,0.9501,162.5667,3.6061,128.0333,1.8047,181.91,0.9296,1.4317,0.0257,56.3533,1.4613,56.7,2.7485,116.1083,4.5491,104.87,6.1258,162.4625,2.9881,127.9817,1.4954,176.6983,8.1799,1.4012,0.0643,59.665,3.6968,62.405,6.3428,135.5225,21.8713,109.2758,7.9301,154.675,9.5486,124.6525,3.9155,161.7967,16.6929,1.1777,0.248,1.21,,0.54,,0.37,,-4.75,,-2.38,,0.6959,,deflation,0,-0.7497,12.2278,1.0,0.64,0.0,22922751084575.0,5963144000000.0,5.39795643990325
1991-01-31,455.0,105.67,111.33,157.375,93.5,-1.626,-33.701,3.588,0.066,-4.412,9.113,-0.788,13.628,0.0,-5.076,1.414,125.44,,22.6196461602765,2870.94913188413,10.6595327634789,,-0.186,115.953,55.6,55.84,-0.75,-18.79,0,0,0,2.406,179.08,0,0,1,1991,56.02,55.2,113.17,102.01,476.0,158.625,93.5,126.06,1.402,181.16,,,22.6196461602765,2870.94913188413,54.81,54.66,112.8,100.39,455.0,163.375,93.5,128.44,1.448,182.95,,,22.8051675730017,2754.99566633829,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,58.72,61.6,124.93,114.91,437.0,160.7,93.5,127.1,1.286,162.34,,,22.8051675730017,2754.99566633829,55.4767,0.6144,55.2333,0.5907,112.4333,0.9733,102.69,2.7049,159.7917,3.1656,126.6467,1.5837,181.0633,1.9368,1.4213,0.0239,55.8333,0.8967,55.74,1.3395,113.8417,1.8791,103.33,3.8272,161.9083,3.6215,127.705,1.8113,179.4883,4.18,1.4225,0.0312,59.0758,3.7375,61.3283,6.2621,130.8067,20.2949,109.2817,7.9271,156.2479,8.0843,125.2308,3.4032,164.6008,16.519,1.2268,0.2294,-0.42,-7.07,0.64,-12.92,-1.84,-56.59,-1.25,18.875,-0.62,6.94,0.7005,,deflation,0,0.1259,15.4856,1.0,0.71,0.0,23920903881560.9,6158129000000.0,4.23496396453849
1991-02-28,445.0,106.1,113.91,160.625,95.625,2.317,-29.222,0.407,0.028,-2.198,3.972,2.065,14.937,2.273,-2.919,1.41,128.12,,22.6196461602765,2870.94913188413,10.6595327634789,,-0.186,115.953,55.67,56.55,0.126,-15.961,0,0,0,2.426,176.83,0,0,2,1991,55.6,55.84,111.33,105.67,455.0,157.375,93.5,125.44,1.414,179.08,2.406,,22.6196461602765,2870.94913188413,56.02,55.2,113.17,102.01,476.0,158.625,93.5,126.06,1.402,181.16,,,22.6196461602765,2870.94913188413,54.81,54.66,112.8,100.39,455.0,163.375,93.5,128.44,1.448,182.95,,,22.8051675730017,2754.99566633829,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,57.48,58.36,116.84,110.05,460.0,160.5,93.5,127.0,1.374,171.35,,,22.8051675730017,2754.99566633829,55.7633,0.225,55.8633,0.6753,112.8033,1.3285,104.5933,2.2475,158.875,1.6394,126.54,1.403,179.0233,2.1656,1.4087,0.0061,55.5317,0.3974,55.4383,0.6659,113.3533,1.2033,102.6717,2.5749,161.9292,3.6121,127.8917,1.7816,180.4017,2.1537,1.4285,0.0222,58.5367,3.7219,60.4333,6.0979,126.8875,18.3993,109.2842,7.926,157.9875,6.2492,125.9808,2.8865,166.9525,16.0373,1.272,0.2043,0.07,-6.47,0.71,-10.74,2.58,-47.03,3.25,20.875,2.68,9.0,0.7245,,deflation,0,3.2693,17.6397,1.0,2.25,0.0,23920903881560.9,6158129000000.0,4.23496396453849
1991-03-31,453.0,109.54,119.42,163.625,95.625,4.837,-23.708,3.242,-0.146,1.798,2.489,1.868,12.072,0.0,-1.797,1.37,129.62,,22.6196461602765,2870.94913188413,10.6595327634789,,-0.186,115.953,57.49,58.8,3.269,-12.669,0,0,0,2.666,170.07,0,0,3,1991,55.67,56.55,113.91,106.1,445.0,160.625,95.625,128.12,1.41,176.83,2.426,,22.6196461602765,2870.94913188413,55.6,55.84,111.33,105.67,455.0,157.375,93.5,125.44,1.414,179.08,2.406,,22.6196461602765,2870.94913188413,56.02,55.2,113.17,102.01,476.0,158.625,93.5,126.06,1.402,181.16,,,22.6196461602765,2870.94913188413,54.81,54.66,112.8,100.39,455.0,163.375,93.5,128.44,1.448,182.95,,,22.8051675730017,2754.99566633829,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,55.49,55.32,114.27,101.52,461.0,165.875,93.5,129.69,1.452,180.77,,,22.8051675730017,2754.99566633829,56.2533,1.0716,57.0633,1.5453,114.8867,4.1325,107.1033,2.1211,160.5417,3.1258,127.7267,2.1176,175.3267,4.6894,1.398,0.0243,55.865,0.8895,56.0183,1.5156,114.2117,2.7851,104.0083,3.6953,161.5542,3.2156,127.88,1.7677,178.6183,4.7057,1.4148,0.029,58.1,3.4851,59.7225,5.7054,123.795,15.9151,109.2708,7.9254,159.4562,5.1502,126.6417,2.7177,168.7483,14.9557,1.3084,0.1753,1.82,-5.24,2.25,-8.53,5.51,-37.11,3.0,17.625,1.5,7.93,0.7622,,deflation,0,1.148,14.4025,1.0,0.56,0.0,23920903881560.9,6158129000000.0,4.23496396453849
1991-04-30,460.0,110.33,120.89,166.0,108.0,1.231,-24.193,0.721,-7.145,1.545,4.545,1.451,6.959,12.941,15.88,1.373,137.0,,22.6196461602765,2870.94913188413,10.6595327634789,,-0.186,115.953,58.15,59.36,1.148,-15.944,0,0,0,2.423,168.46,0,0,4,1991,57.49,58.8,119.42,109.54,453.0,163.625,95.625,129.62,1.37,170.07,2.666,,22.6196461602765,2870.94913188413,55.67,56.55,113.91,106.1,445.0,160.625,95.625,128.12,1.41,176.83,2.426,,22.6196461602765,2870.94913188413,55.6,55.84,111.33,105.67,455.0,157.375,93.5,125.44,1.414,179.08,2.406,,22.6196461602765,2870.94913188413,56.02,55.2,113.17,102.01,476.0,158.625,93.5,126.06,1.402,181.16,,,22.6196461602765,2870.94913188413,54.81,54.66,112.8,100.39,455.0,163.375,93.5,128.44,1.448,182.95,,,22.8051675730017,2754.99566633829,55.6,55.06,114.64,100.34,468.0,165.7,93.5,129.6,1.445,181.62,,,22.8051675730017,2754.99566633829,57.1033,1.2844,58.2367,1.4873,118.0733,3.6797,108.6567,2.2491,163.4167,2.6935,131.58,4.7534,171.7867,4.4412,1.3843,0.0223,56.29,1.2668,56.735,1.9314,115.2533,3.9164,105.6733,3.9535,161.6042,3.2943,129.1133,4.1644,176.425,5.9336,1.4028,0.0289,57.5417,2.7683,58.7842,4.5615,120.58,11.2731,108.5633,7.3538,160.3562,5.2808,127.7083,3.9188,170.9867,12.2968,1.3418,0.1403,0.66,-6.7,0.56,-11.26,1.47,-38.58,2.375,10.8,7.38,12.8,0.8132,,deflation,0,-2.356,7.1711,1.0,-1.08,0.0,23920903881560.9,6158129000000.0,4.23496396453849
